Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Drug_condition_and_replicate,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SAMPLE_TYPE,SRA Study,STRAIN,Subsample,Time_point_(passage)
SRR10554023,WCS,59,64841885,PRJNA592371,SAMN13424336,"Microbe\, viral or environmental",15500944,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",No drug r1,SRX7235923,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-66_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-66_subsample-2,Culture,SRP233631,K-12 MG1655,2,66
SRR10554024,WCS,59,66305557,PRJNA592371,SAMN13424335,"Microbe\, viral or environmental",16213330,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",No drug r1,SRX7235922,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-66_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-66_subsample-1,Culture,SRP233631,K-12 MG1655,1,66
SRR10554025,WCS,59,60549635,PRJNA592371,SAMN13424334,"Microbe\, viral or environmental",14940737,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",No drug r1,SRX7235921,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-64_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-64_subsample-4,Culture,SRP233631,K-12 MG1655,4,64
SRR10554026,WCS,59,61271913,PRJNA592371,SAMN13424333,"Microbe\, viral or environmental",15139803,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",No drug r1,SRX7235920,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-64_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-64_subsample-3,Culture,SRP233631,K-12 MG1655,3,64
SRR10554027,WCS,59,60647457,PRJNA592371,SAMN13424332,"Microbe\, viral or environmental",13956640,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",No drug r1,SRX7235919,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-64_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-64_subsample-2,Culture,SRP233631,K-12 MG1655,2,64
SRR10554028,WCS,59,61945870,PRJNA592371,SAMN13424331,"Microbe\, viral or environmental",14610615,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",No drug r1,SRX7235918,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-64_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-64_subsample-1,Culture,SRP233631,K-12 MG1655,1,64
SRR10554029,WCS,59,55580360,PRJNA592371,SAMN13424330,"Microbe\, viral or environmental",13138225,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",No drug r1,SRX7235917,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-58_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-58_subsample-4,Culture,SRP233631,K-12 MG1655,4,58
SRR10554030,WCS,59,56550379,PRJNA592371,SAMN13424329,"Microbe\, viral or environmental",13446121,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",No drug r1,SRX7235916,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-58_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-58_subsample-3,Culture,SRP233631,K-12 MG1655,3,58
SRR10554031,WCS,59,55838072,PRJNA592371,SAMN13424328,"Microbe\, viral or environmental",12258806,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",No drug r1,SRX7235915,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-58_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-58_subsample-2,Culture,SRP233631,K-12 MG1655,2,58
SRR10554032,WCS,59,57324459,PRJNA592371,SAMN13424327,"Microbe\, viral or environmental",12918202,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",No drug r1,SRX7235914,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-58_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-58_subsample-1,Culture,SRP233631,K-12 MG1655,1,58
SRR10554033,WCS,50,27790900,PRJNA592371,SAMN13423607,"Microbe\, viral or environmental",8491160,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Low CMP r2,SRX7235913,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-30_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-30_subsample-1,Culture,SRP233631,K-12 MG1655,1,30
SRR10554034,WCS,50,26905400,PRJNA592371,SAMN13423535,"Microbe\, viral or environmental",6588092,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Low CMP r1,SRX7235912,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-A1_passage-20_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-A1_passage-20_subsample-1,Culture,SRP233631,K-12 MG1655,1,20
SRR10554035,WCS,59,62131484,PRJNA592371,SAMN13424326,"Microbe\, viral or environmental",14146564,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",No drug r1,SRX7235911,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-54_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-54_subsample-4,Culture,SRP233631,K-12 MG1655,4,54
SRR10554036,WCS,59,63135900,PRJNA592371,SAMN13424325,"Microbe\, viral or environmental",14474589,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",No drug r1,SRX7235910,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-54_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-54_subsample-3,Culture,SRP233631,K-12 MG1655,3,54
SRR10554037,WCS,59,62037438,PRJNA592371,SAMN13424324,"Microbe\, viral or environmental",13091379,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",No drug r1,SRX7235909,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-54_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-54_subsample-2,Culture,SRP233631,K-12 MG1655,2,54
SRR10554038,WCS,59,63775106,PRJNA592371,SAMN13424323,"Microbe\, viral or environmental",13880822,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",No drug r1,SRX7235908,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-54_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-54_subsample-1,Culture,SRP233631,K-12 MG1655,1,54
SRR10554039,WCS,59,61012254,PRJNA592371,SAMN13424322,"Microbe\, viral or environmental",15166302,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",No drug r1,SRX7235907,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-52_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-52_subsample-4,Culture,SRP233631,K-12 MG1655,4,52
SRR10554040,WCS,59,62070714,PRJNA592371,SAMN13424321,"Microbe\, viral or environmental",15502909,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",No drug r1,SRX7235906,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-52_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-52_subsample-3,Culture,SRP233631,K-12 MG1655,3,52
SRR10554041,WCS,59,61277282,PRJNA592371,SAMN13424320,"Microbe\, viral or environmental",14193595,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",No drug r1,SRX7235905,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-52_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-52_subsample-2,Culture,SRP233631,K-12 MG1655,2,52
SRR10554042,WCS,59,62642306,PRJNA592371,SAMN13424319,"Microbe\, viral or environmental",14885955,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",No drug r1,SRX7235904,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-52_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-52_subsample-1,Culture,SRP233631,K-12 MG1655,1,52
SRR10554043,WCS,59,56286944,PRJNA592371,SAMN13424318,"Microbe\, viral or environmental",14535839,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",No drug r1,SRX7235903,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-48_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-48_subsample-4,Culture,SRP233631,K-12 MG1655,4,48
SRR10554044,WCS,59,57098076,PRJNA592371,SAMN13424317,"Microbe\, viral or environmental",14766040,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",No drug r1,SRX7235902,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-48_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-48_subsample-3,Culture,SRP233631,K-12 MG1655,3,48
SRR10554045,WCS,50,22252950,PRJNA592371,SAMN13423606,"Microbe\, viral or environmental",5155559,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Low CMP r2,SRX7235901,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-26_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-26_subsample-4,Culture,SRP233631,K-12 MG1655,4,26
SRR10554046,WCS,59,56376919,PRJNA592371,SAMN13424316,"Microbe\, viral or environmental",13619381,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",No drug r1,SRX7235900,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-48_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-48_subsample-2,Culture,SRP233631,K-12 MG1655,2,48
SRR10554047,WCS,59,57694507,PRJNA592371,SAMN13424315,"Microbe\, viral or environmental",14284827,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",No drug r1,SRX7235899,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-48_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-48_subsample-1,Culture,SRP233631,K-12 MG1655,1,48
SRR10554048,WCS,59,19700218,PRJNA592371,SAMN13424314,"Microbe\, viral or environmental",6305661,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",No drug r1,SRX7235898,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-44_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-44_subsample-4,Culture,SRP233631,K-12 MG1655,4,44
SRR10554049,WCS,59,20131508,PRJNA592371,SAMN13424313,"Microbe\, viral or environmental",6408282,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",No drug r1,SRX7235897,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-44_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-44_subsample-3,Culture,SRP233631,K-12 MG1655,3,44
SRR10554050,WCS,59,20217825,PRJNA592371,SAMN13424312,"Microbe\, viral or environmental",6074815,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",No drug r1,SRX7235896,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-44_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-44_subsample-2,Culture,SRP233631,K-12 MG1655,2,44
SRR10554051,WCS,59,20772071,PRJNA592371,SAMN13424311,"Microbe\, viral or environmental",6335991,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",No drug r1,SRX7235895,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-44_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-44_subsample-1,Culture,SRP233631,K-12 MG1655,1,44
SRR10554052,WCS,59,58627651,PRJNA592371,SAMN13424310,"Microbe\, viral or environmental",20048467,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",No drug r1,SRX7235894,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-40_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-40_subsample-4,Culture,SRP233631,K-12 MG1655,4,40
SRR10554053,WCS,59,59873436,PRJNA592371,SAMN13424309,"Microbe\, viral or environmental",20390941,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",No drug r1,SRX7235893,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-40_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-40_subsample-3,Culture,SRP233631,K-12 MG1655,3,40
SRR10554054,WCS,59,59789302,PRJNA592371,SAMN13424308,"Microbe\, viral or environmental",19399159,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",No drug r1,SRX7235892,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-40_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-40_subsample-2,Culture,SRP233631,K-12 MG1655,2,40
SRR10554055,WCS,59,61213680,PRJNA592371,SAMN13424307,"Microbe\, viral or environmental",20160022,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",No drug r1,SRX7235891,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-40_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-40_subsample-1,Culture,SRP233631,K-12 MG1655,1,40
SRR10554056,WCS,50,22638400,PRJNA592371,SAMN13423605,"Microbe\, viral or environmental",5143663,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Low CMP r2,SRX7235890,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-26_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-26_subsample-3,Culture,SRP233631,K-12 MG1655,3,26
SRR10554057,WCS,59,65653076,PRJNA592371,SAMN13424306,"Microbe\, viral or environmental",22230748,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",No drug r1,SRX7235889,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-38_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-38_subsample-4,Culture,SRP233631,K-12 MG1655,4,38
SRR10554058,WCS,59,66566455,PRJNA592371,SAMN13424305,"Microbe\, viral or environmental",22543915,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",No drug r1,SRX7235888,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-38_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-38_subsample-3,Culture,SRP233631,K-12 MG1655,3,38
SRR10554059,WCS,59,65939108,PRJNA592371,SAMN13424304,"Microbe\, viral or environmental",21389460,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",No drug r1,SRX7235887,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-38_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-38_subsample-2,Culture,SRP233631,K-12 MG1655,2,38
SRR10554060,WCS,59,67609929,PRJNA592371,SAMN13424303,"Microbe\, viral or environmental",22238117,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",No drug r1,SRX7235886,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-38_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-38_subsample-1,Culture,SRP233631,K-12 MG1655,1,38
SRR10554061,WCS,59,71762821,PRJNA592371,SAMN13424302,"Microbe\, viral or environmental",24879801,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",No drug r1,SRX7235885,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-30_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-30_subsample-4,Culture,SRP233631,K-12 MG1655,4,30
SRR10554062,WCS,59,72656494,PRJNA592371,SAMN13424301,"Microbe\, viral or environmental",25194044,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",No drug r1,SRX7235884,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-30_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-30_subsample-3,Culture,SRP233631,K-12 MG1655,3,30
SRR10554063,WCS,59,71846542,PRJNA592371,SAMN13424300,"Microbe\, viral or environmental",23947447,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",No drug r1,SRX7235883,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-30_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-30_subsample-2,Culture,SRP233631,K-12 MG1655,2,30
SRR10554064,WCS,59,73777199,PRJNA592371,SAMN13424299,"Microbe\, viral or environmental",24922327,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",No drug r1,SRX7235882,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-30_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-30_subsample-1,Culture,SRP233631,K-12 MG1655,1,30
SRR10554065,WCS,59,70810384,PRJNA592371,SAMN13424298,"Microbe\, viral or environmental",24794936,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",No drug r1,SRX7235881,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-26_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-26_subsample-4,Culture,SRP233631,K-12 MG1655,4,26
SRR10554066,WCS,59,71779872,PRJNA592371,SAMN13424297,"Microbe\, viral or environmental",25112878,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",No drug r1,SRX7235880,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-26_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-26_subsample-3,Culture,SRP233631,K-12 MG1655,3,26
SRR10554067,WCS,50,22154600,PRJNA592371,SAMN13423604,"Microbe\, viral or environmental",4774335,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Low CMP r2,SRX7235879,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-26_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-26_subsample-2,Culture,SRP233631,K-12 MG1655,2,26
SRR10554068,WCS,59,71108393,PRJNA592371,SAMN13424296,"Microbe\, viral or environmental",23900056,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",No drug r1,SRX7235878,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-26_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-26_subsample-2,Culture,SRP233631,K-12 MG1655,2,26
SRR10554069,WCS,59,73055039,PRJNA592371,SAMN13424295,"Microbe\, viral or environmental",24902702,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",No drug r1,SRX7235877,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-26_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-26_subsample-1,Culture,SRP233631,K-12 MG1655,1,26
SRR10554070,WCS,59,74198636,PRJNA592371,SAMN13424294,"Microbe\, viral or environmental",26547519,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",No drug r1,SRX7235876,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-20_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-20_subsample-4,Culture,SRP233631,K-12 MG1655,4,20
SRR10554071,WCS,59,75126234,PRJNA592371,SAMN13424293,"Microbe\, viral or environmental",26932071,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",No drug r1,SRX7235875,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-20_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-20_subsample-3,Culture,SRP233631,K-12 MG1655,3,20
SRR10554072,WCS,59,74257872,PRJNA592371,SAMN13424292,"Microbe\, viral or environmental",25607290,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",No drug r1,SRX7235874,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-20_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-20_subsample-2,Culture,SRP233631,K-12 MG1655,2,20
SRR10554073,WCS,59,76326058,PRJNA592371,SAMN13424291,"Microbe\, viral or environmental",26700281,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",No drug r1,SRX7235873,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-20_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-20_subsample-1,Culture,SRP233631,K-12 MG1655,1,20
SRR10554074,WCS,59,72639797,PRJNA592371,SAMN13424290,"Microbe\, viral or environmental",26972221,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",No drug r1,SRX7235872,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-12_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-12_subsample-4,Culture,SRP233631,K-12 MG1655,4,12
SRR10554075,WCS,59,73840388,PRJNA592371,SAMN13424289,"Microbe\, viral or environmental",27410519,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",No drug r1,SRX7235871,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-12_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-12_subsample-3,Culture,SRP233631,K-12 MG1655,3,12
SRR10554076,WCS,59,73057635,PRJNA592371,SAMN13424288,"Microbe\, viral or environmental",26121917,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",No drug r1,SRX7235870,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-E9_passage-12_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-E9_passage-12_subsample-2,Culture,SRP233631,K-12 MG1655,2,12
